user_id,path
3258,Recipe Report -> Purchase -> Search Result -> Cooksnap Edit -> Recipe Edit -> Search -> Tip -> Profile
27335,Recipe Detail -> Tip -> Recipe Detail -> Cooksnaps -> Purchase -> Search Result -> Network Feed -> Search Result -> Recipe Edit -> Recipe Edit -> Search Result
28514,Profile -> Bookmarks -> Cooksnap Edit -> Cooksnaps -> Cooksnaps -> Search -> Network Feed -> Recipe Edit -> Search -> Search Result
29474,Profile -> Purchase -> Search Result -> Network Feed -> Tip Edit -> Recipe Report -> Profile -> Tip Edit -> Recipe Report -> Cooksnap Edit -> Tip Edit -> Profile -> Insight Feed
31542,Insight Feed -> Tip Edit -> Network Feed -> Tip -> Bookmarks -> Bookmarks -> Search Result -> Recipe Detail -> Tip -> Profile -> Cooksnaps -> Recipe Detail
36546,Search -> Search Result -> Purchase
47614,Profile -> Purchase -> Recipe Report -> Tip -> Cooksnap Edit -> Purchase -> Tip Edit -> Bookmarks -> Cooksnaps -> Recipe Detail -> Recipe Edit -> Search -> Network Feed -> Recipe Edit
49216,Tip -> Search -> Bookmarks -> Recipe Detail -> Cooksnaps -> Bookmarks -> Cooksnap Edit -> Cooksnaps
61402,Tip Edit -> Recipe Detail -> Cooksnap Edit -> Cooksnap Edit -> Bookmarks -> Bookmarks -> Cooksnap Edit
78769,Network Feed -> Search -> Cooksnap Edit -> Bookmarks -> Network Feed -> Tip Edit
90774,Tip Edit -> Cooksnaps -> Insight Feed -> Insight Feed -> Cooksnaps -> Tip -> Search Result -> Cooksnaps -> Bookmarks -> Recipe Report
98020,Search Result -> Network Feed -> Recipe Detail -> Tip Edit -> Tip -> Profile -> Recipe Edit -> Cooksnap Edit -> Tip -> Tip Edit -> Search
98967,Recipe Report -> Search -> Insight Feed -> Tip -> Tip -> Cooksnaps
119295,Recipe Detail -> Bookmarks -> Recipe Report -> Recipe Detail -> Tip -> Tip -> Cooksnap Edit -> Recipe Detail -> Recipe Edit -> Insight Feed
130082,Bookmarks -> Recipe Detail -> Recipe Report -> Network Feed -> Search -> Cooksnaps -> Bookmarks -> Cooksnaps -> Cooksnaps
133753,Insight Feed -> Cooksnaps -> Search -> Profile -> Network Feed
